Question,Answer
"How do I submit my internship task?","Upload your GitHub repository link, live deployment URL, and LinkedIn post URL through the Internee.pk submission portal."
"Where should I upload my GitHub repository?","Submit your public GitHub repository link in the designated GitHub Repository field."
"How do I deploy my Streamlit project?","Deploy your application using Streamlit Community Cloud and share the live URL."
"What should I include in my GitHub repository?","Include source code, README.md, requirements.txt, datasets, and screenshots."
"How do I contact my mentor?","Use the official Internee.pk communication channels or mentor contact details."
"What happens if my project has errors?","Fix all issues, test the application thoroughly, and then submit the corrected version."
"How do I update my GitHub repository?","Commit your changes locally and push them to GitHub using Git."
"What technologies can I use?","You can use Python, Streamlit, Hugging Face Transformers, Pandas, and Scikit-learn."
"What is required in the README file?","Describe the project, installation steps, usage, features, technologies, and screenshots."
"How do I improve my project?","Write clean code, organize files properly, document your work, and test your application."
"Where can I find previous internship tasks?","Previous tasks are available on your Internee.pk dashboard."
"How do I report a technical issue?","Report issues through the support portal or contact your mentor."
"Can I edit my submission after submitting?","Contact your mentor to check whether editing is permitted."
"How do I prepare for project evaluation?","Ensure your project works correctly, documentation is complete, and all links are accessible."
"Why is my Streamlit app not loading?","Check deployment logs, verify dependencies, and ensure all required files are included."
"Why is my GitHub repository not opening?","Make sure the repository is public and the submitted URL is correct."
"Do I need a requirements.txt file?","Yes. It lists all Python dependencies required to run your project."
"What is semantic search?","Semantic search finds answers based on meaning instead of exact keyword matching."
"Why is my chatbot giving incorrect answers?","Improve the knowledge base by adding more accurate and diverse FAQs."
"Can I use Hugging Face models?","Yes. Hugging Face Sentence Transformers are recommended for semantic search."
"How do I install the required Python libraries?","Use pip install -r requirements.txt to install all required dependencies."
"What should I do if pip install fails?","Check your internet connection, Python version, and package names before trying again."
"Why am I getting ModuleNotFoundError?","Install the missing package using pip and ensure it is listed in requirements.txt."
"How do I create a virtual environment?","Run python -m venv venv and activate it before installing dependencies."
"Can I complete the internship without deployment?","Follow the task instructions carefully. If deployment is required, submit a working live application."
"How do I check my Python version?","Run python --version in the terminal."
"Why is my Streamlit app showing a blank page?","Check the terminal for errors and verify that your code executes without exceptions."
"How do I restart my Streamlit application?","Stop the application and run python -m streamlit run app.py again."
"Should my GitHub repository be public?","Yes, reviewers should be able to access your project without permission."
"What files should never be uploaded to GitHub?","Avoid uploading virtual environments, cache files, and sensitive information."
"How do I improve my README?","Include project overview, installation steps, usage instructions, screenshots, and technologies used."
"What is requirements.txt used for?","It helps users install the exact dependencies required for the project."
"Can I use external datasets?","Yes, if they are relevant, publicly available, and properly referenced."
"What should I do before submitting my project?","Test all features, verify links, and ensure your documentation is complete."
"How can I make my project more professional?","Use clean code, modular structure, documentation, and a user-friendly interface."
"Why is my chatbot confidence score low?","The question may not closely match the available knowledge base."
"Can I customize the chatbot interface?","Yes, Streamlit allows you to customize layouts, colors, and components."
"What is NLP?","Natural Language Processing enables computers to understand and respond to human language."
"Why are embeddings used in this chatbot?","Embeddings convert text into numerical vectors that help measure semantic similarity."
"Which AI model is used in this project?","The chatbot uses the all-MiniLM-L6-v2 Sentence Transformer model for semantic search."
"How do I upload my LinkedIn post?","Copy your public LinkedIn post URL and submit it in the required field."
"Can I submit my project after the deadline?","Late submissions depend on the internship policy. Contact your mentor for guidance."
"What should I do if GitHub is down?","Wait until GitHub services are restored and then submit your repository link."
"Can I update my project after deployment?","Yes, redeploy your application after pushing the latest changes to GitHub."
"Why is my deployed app different from my local app?","Ensure you pushed the latest code and all required files before deployment."
"What is cosine similarity?","Cosine similarity measures how similar two text embeddings are."
"Why does the chatbot return the wrong answer?","The dataset may not contain a closely matching question or sufficient information."
"Can I add more FAQs to the chatbot?","Yes, expanding the FAQ dataset improves the chatbot's performance."
"Can I add more support tickets?","Yes, adding historical support tickets helps the chatbot answer more practical questions."
"How do I make my chatbot faster?","Cache the AI model and optimize your code to reduce loading time."
"What should I include in my project documentation?","Include objectives, technologies, installation steps, usage, screenshots, and future improvements."
"How do I check whether my deployment is working?","Open the live URL in your browser and test all chatbot features."
"What should I do if my chatbot crashes?","Read the error message, identify the issue, fix the code, and test again."
"Can I use this project in my portfolio?","Yes, this project demonstrates practical NLP, AI, and Streamlit development skills."
"What programming language is used in this project?","Python is the primary programming language used."
"What libraries are used in this chatbot?","Streamlit, Pandas, Sentence Transformers, and Scikit-learn are the main libraries."
"How do I improve chatbot accuracy?","Expand the knowledge base and include more realistic questions and answers."
"Can I contribute new features later?","Yes, you can continue improving the project after completing the internship."
"What is the purpose of this chatbot?","It helps interns quickly find answers to common internship-related questions using AI-powered semantic search."
"How should I prepare my final submission?","Verify that your GitHub repository, live deployment, documentation, and LinkedIn post are complete and accessible."